class;order;list;iucn_category;exp;obt
Insecta;Archaeognata;ICMBIO;DD;5;0
Insecta;Archaeognata;ICMBIO;LC;18;0
Insecta;Archaeognata;ICMBIO;NT;0;0
Insecta;Archaeognata;ICMBIO;VU;1;0
Insecta;Archaeognata;ICMBIO;EN;1;0
Insecta;Archaeognata;ICMBIO;CR;0;0
Insecta;Archaeognata;IUCN;DD;7;0
Insecta;Archaeognata;IUCN;LC;17;0
Insecta;Archaeognata;IUCN;NT;0;0
Insecta;Archaeognata;IUCN;VU;1;0
Insecta;Archaeognata;IUCN;EN;0;0
Insecta;Archaeognata;IUCN;CR;0;0
Insecta;Archaeognata;MMA;DD;2;0
Insecta;Archaeognata;MMA;LC;21;0
Insecta;Archaeognata;MMA;NT;0;0
Insecta;Archaeognata;MMA;VU;0;0
Insecta;Archaeognata;MMA;EN;1;0
Insecta;Archaeognata;MMA;CR;0;0
Insecta;Blattaria;ICMBIO;DD;216;0
Insecta;Blattaria;ICMBIO;LC;805;0
Insecta;Blattaria;ICMBIO;NT;11;0
Insecta;Blattaria;ICMBIO;VU;32;0
Insecta;Blattaria;ICMBIO;EN;29;0
Insecta;Blattaria;ICMBIO;CR;22;0
Insecta;Blattaria;IUCN;DD;300;1
Insecta;Blattaria;IUCN;LC;740;3
Insecta;Blattaria;IUCN;NT;12;1
Insecta;Blattaria;IUCN;VU;27;0
Insecta;Blattaria;IUCN;EN;20;0
Insecta;Blattaria;IUCN;CR;18;0
Insecta;Blattaria;MMA;DD;94;0
Insecta;Blattaria;MMA;LC;947;0
Insecta;Blattaria;MMA;NT;18;0
Insecta;Blattaria;MMA;VU;21;0
Insecta;Blattaria;MMA;EN;24;1
Insecta;Blattaria;MMA;CR;16;0
Insecta;Coleoptera;ICMBIO;DD;6895;67
Insecta;Coleoptera;ICMBIO;LC;25744;63
Insecta;Coleoptera;ICMBIO;NT;356;3
Insecta;Coleoptera;ICMBIO;VU;1012;14
Insecta;Coleoptera;ICMBIO;EN;918;8
