scientificName;class;order;family;status;list
Litoblatta camargoi;Insecta;Blattaria;Blattellidae;EN;MMA 2022
Erotylopsis pujoli;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus frontispeltastes;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Hylotribus gauchus;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus involucer;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus plaumanni;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus sublimis;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hypselotropis limodes;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hypselotropis pectoralis;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes brevis;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes crustatus;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes jekeli;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes longicollis;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes obsoletus;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Erotylopsis pujoli;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hylotribus frontispeltastes;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hylotribus gauchus;Insecta;Coleoptera;Anthribidae;DD;MMA 2022
Hylotribus involucer;Insecta;Coleoptera;Anthribidae;DD;MMA 2022
Hylotribus plaumanni;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hylotribus sublimis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hypselotropis limodes;Insecta;Coleoptera;Anthribidae;DD;MMA 2022
Hypselotropis pectoralis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes brevis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes crustatus;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes jekeli;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes longicollis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes obsoletus;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Agrilus oceanicus;Insecta;Coleoptera;Buprestidae;NT;MMA 2022
Micrasta alvarengai;Insecta;Coleoptera;Buprestidae;NT;MMA 2022
